tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	0	0	live	RP11-34P13.3		gene_id:ENSG00000243485.3, gene_status:NOVEL, gene_type:lincRNA			1		29554	31109	plus		
9606	Homo sapiens	0	0	live	FAM138A		gene_id:ENSG00000237613.2, gene_status:KNOWN, gene_type:lincRNA			1		36081	34554	minus		
9606	Homo sapiens	0	0	live	RP11-34P13.7		gene_id:ENSG00000238009.5, gene_status:NOVEL, gene_type:lincRNA			1		133723	89295	minus		
9606	Homo sapiens	0	0	live	RP11-34P13.8		gene_id:ENSG00000239945.1, gene_status:NOVEL, gene_type:lincRNA			1		91105	89551	minus		
9606	Homo sapiens	0	0	live	RP11-34P13.14		gene_id:ENSG00000239906.1, gene_status:NOVEL, gene_type:antisense			1		140339	139790	minus		
9606	Homo sapiens	0	0	live	RP11-34P13.13		gene_id:ENSG00000241860.5, gene_status:NOVEL, gene_type:processed_transcript			1		173862	141474	minus		
9606	Homo sapiens	0	0	live	RP11-34P13.9		gene_id:ENSG00000241599.1, gene_status:NOVEL, gene_type:lincRNA			1		160446	161525	plus		
9606	Homo sapiens	0	0	live	AP006222.2		gene_id:ENSG00000228463.7, gene_status:NOVEL, gene_type:lincRNA			1		297502	257864	minus		
9606	Homo sapiens	0	0	live	RP5-857K21.15		gene_id:ENSG00000236743.1, gene_status:NOVEL, gene_type:lincRNA			1		359681	357383	minus		
9606	Homo sapiens	0	0	live	RP4-669L17.2		gene_id:ENSG00000236601.1, gene_status:NOVEL, gene_type:lincRNA			1		358857	365704	plus		
9606	Homo sapiens	0	0	live	RP4-669L17.10		gene_id:ENSG00000237094.10, gene_status:NOVEL, gene_type:lincRNA			1		501617	365389	minus		
9606	Homo sapiens	0	0	live	RP5-857K21.1		gene_id:ENSG00000231709.1, gene_status:NOVEL, gene_type:lincRNA			1		588453	585989	minus		
9606	Homo sapiens	0	0	live	RP5-857K21.2		gene_id:ENSG00000235146.2, gene_status:NOVEL, gene_type:lincRNA			1		587629	594768	plus		
9606	Homo sapiens	0	0	live	RP5-857K21.3		gene_id:ENSG00000239664.2, gene_status:NOVEL, gene_type:lincRNA			1		597498	594453	minus		
9606	Homo sapiens	0	0	live	RP5-857K21.4		gene_id:ENSG00000230021.6, gene_status:NOVEL, gene_type:lincRNA			1		724707	601436	minus		
9606	Homo sapiens	0	0	live	RP5-857K21.5		gene_id:ENSG00000223659.1, gene_status:NOVEL, gene_type:lincRNA			1		629010	627377	minus		
9606	Homo sapiens	0	0	live	RP11-206L10.3		gene_id:ENSG00000235373.1, gene_status:NOVEL, gene_type:lincRNA			1		750016	741813	minus		
9606	Homo sapiens	0	0	live	RP11-206L10.5		gene_id:ENSG00000240618.1, gene_status:NOVEL, gene_type:lincRNA			1		764925	759032	minus		
9606	Homo sapiens	0	0	live	RP11-206L10.4		gene_id:ENSG00000229905.1, gene_status:NOVEL, gene_type:antisense			1		760911	761989	plus		
9606	Homo sapiens	0	0	live	RP11-206L10.2		gene_id:ENSG00000228327.2, gene_status:NOVEL, gene_type:lincRNA			1		778626	764857	minus		
9606	Homo sapiens	0	0	live	RP11-206L10.9		gene_id:ENSG00000237491.7, gene_status:NOVEL, gene_type:lincRNA			1		778770	810060	plus		
9606	Homo sapiens	0	0	live	FAM87B		gene_id:ENSG00000177757.2, gene_status:KNOWN, gene_type:lincRNA			1		817371	819837	plus		
9606	Homo sapiens	0	0	live	LINC01128		gene_id:ENSG00000228794.7, gene_status:NOVEL, gene_type:processed_transcript			1		825138	859446	plus		
9606	Homo sapiens	0	0	live	LINC00115		gene_id:ENSG00000225880.5, gene_status:KNOWN, gene_type:lincRNA			1		827522	826206	minus		
9606	Homo sapiens	0	0	live	FAM41C		gene_id:ENSG00000230368.2, gene_status:KNOWN, gene_type:lincRNA			1		876903	868071	minus		
9606	Homo sapiens	0	0	live	RP11-54O7.16		gene_id:ENSG00000272438.1, gene_status:NOVEL, gene_type:lincRNA			1		904834	915976	plus		
9606	Homo sapiens	0	0	live	RP11-54O7.1		gene_id:ENSG00000230699.2, gene_status:NOVEL, gene_type:lincRNA			1		911435	914948	plus		
9606	Homo sapiens	0	0	live	RP11-54O7.2		gene_id:ENSG00000241180.1, gene_status:NOVEL, gene_type:lincRNA			1		914171	914971	plus		
9606	Homo sapiens	0	0	live	RP11-54O7.3		gene_id:ENSG00000223764.2, gene_status:NOVEL, gene_type:lincRNA			1		921016	916865	minus		
9606	Homo sapiens	0	0	live	RP11-54O7.17		gene_id:ENSG00000272512.1, gene_status:NOVEL, gene_type:lincRNA			1		998051	995966	minus		
9606	Homo sapiens	0	0	live	RP11-54O7.11		gene_id:ENSG00000224969.1, gene_status:NOVEL, gene_type:antisense			1		1013193	1011997	minus		
9606	Homo sapiens	0	0	live	RP11-54O7.14		gene_id:ENSG00000242590.1, gene_status:NOVEL, gene_type:sense_intronic			1		1055033	1056116	plus		
9606	Homo sapiens	0	0	live	RP11-54O7.18		gene_id:ENSG00000273443.1, gene_status:NOVEL, gene_type:lincRNA			1		1063288	1062208	minus		
9606	Homo sapiens	0	0	live	LINC01342		gene_id:ENSG00000223823.1, gene_status:NOVEL, gene_type:lincRNA			1		1137017	1144056	plus		
9606	Homo sapiens	0	0	live	RP11-465B22.8		gene_id:ENSG00000272141.1, gene_status:NOVEL, gene_type:lincRNA			1		1169357	1170343	plus		
9606	Homo sapiens	0	0	live	TTLL10-AS1		gene_id:ENSG00000205231.1, gene_status:NOVEL, gene_type:antisense			1		1179555	1173056	minus		
9606	Homo sapiens	0	0	live	RP5-902P8.12		gene_id:ENSG00000260179.1, gene_status:NOVEL, gene_type:lincRNA			1		1251334	1249777	minus		
9606	Homo sapiens	0	0	live	RP5-902P8.10		gene_id:ENSG00000230415.1, gene_status:NOVEL, gene_type:lincRNA			1		1275223	1280420	plus		
9606	Homo sapiens	0	0	live	RP5-890O3.9		gene_id:ENSG00000240731.1, gene_status:NOVEL, gene_type:sense_intronic			1		1318689	1317581	minus		
9606	Homo sapiens	0	0	live	RP4-758J18.2		gene_id:ENSG00000224870.5, gene_status:NOVEL, gene_type:processed_transcript			1		1399522	1402046	plus		
9606	Homo sapiens	0	0	live	RP4-758J18.13		gene_id:ENSG00000272455.1, gene_status:NOVEL, gene_type:lincRNA			1		1409096	1410618	plus		
9606	Homo sapiens	0	0	live	RP4-758J18.7		gene_id:ENSG00000225905.1, gene_status:NOVEL, gene_type:antisense			1		1420245	1422691	plus		
9606	Homo sapiens	0	0	live	RP4-758J18.10		gene_id:ENSG00000225285.1, gene_status:NOVEL, gene_type:lincRNA			1		1434573	1430539	minus		
9606	Homo sapiens	0	0	live	RP5-832C2.5		gene_id:ENSG00000215014.4, gene_status:NOVEL, gene_type:lincRNA			1		1574975	1577075	plus		
9606	Homo sapiens	0	0	live	RP11-345P4.9		gene_id:ENSG00000272106.1, gene_status:NOVEL, gene_type:antisense			1		1615795	1613758	minus		
9606	Homo sapiens	0	0	live	RP11-345P4.10		gene_id:ENSG00000272004.1, gene_status:NOVEL, gene_type:antisense			1		1659325	1662602	plus		
9606	Homo sapiens	0	0	live	RP11-345P4.7		gene_id:ENSG00000269737.1, gene_status:NOVEL, gene_type:antisense			1		1671990	1673411	plus		
9606	Homo sapiens	0	0	live	RP1-283E3.8		gene_id:ENSG00000268575.1, gene_status:NOVEL, gene_type:processed_transcript			1		1737688	1702736	minus		
9606	Homo sapiens	0	0	live	RP1-140A9.1		gene_id:ENSG00000231050.1, gene_status:NOVEL, gene_type:antisense			1		1891471	1892658	plus		
9606	Homo sapiens	0	0	live	RP11-547D24.1		gene_id:ENSG00000233542.1, gene_status:NOVEL, gene_type:antisense			1		2015530	2013213	minus		
9606	Homo sapiens	0	0	live	RP11-547D24.3		gene_id:ENSG00000226969.1, gene_status:NOVEL, gene_type:antisense			1		2050070	2049203	minus		
9606	Homo sapiens	0	0	live	RP5-892K4.1		gene_id:ENSG00000271806.1, gene_status:NOVEL, gene_type:antisense			1		2145279	2141084	minus		
9606	Homo sapiens	0	0	live	RP11-181G12.2		gene_id:ENSG00000182873.5, gene_status:NOVEL, gene_type:antisense			1		2184389	2181794	minus		
9606	Homo sapiens	0	0	live	RP11-181G12.4		gene_id:ENSG00000234396.3, gene_status:NOVEL, gene_type:lincRNA			1		2212523	2220738	plus		
9606	Homo sapiens	0	0	live	RP4-713A8.1		gene_id:ENSG00000272161.1, gene_status:NOVEL, gene_type:sense_intronic			1		2326693	2326201	minus		
9606	Homo sapiens	0	0	live	RP4-740C4.7		gene_id:ENSG00000272420.1, gene_status:NOVEL, gene_type:sense_intronic			1		2363628	2363061	minus		
9606	Homo sapiens	0	0	live	RP3-395M20.2		gene_id:ENSG00000224387.1, gene_status:NOVEL, gene_type:antisense			1		2493258	2492300	minus		
9606	Homo sapiens	0	0	live	RP3-395M20.3		gene_id:ENSG00000229393.1, gene_status:NOVEL, gene_type:antisense			1		2494479	2493437	minus		
9606	Homo sapiens	0	0	live	RP3-395M20.12		gene_id:ENSG00000272449.1, gene_status:NOVEL, gene_type:lincRNA			1		2546465	2547460	plus		
9606	Homo sapiens	0	0	live	RP3-395M20.8		gene_id:ENSG00000238164.5, gene_status:NOVEL, gene_type:antisense			1		2557031	2549920	minus		
9606	Homo sapiens	0	0	live	RP3-395M20.7		gene_id:ENSG00000225931.3, gene_status:KNOWN, gene_type:TEC			1		2566410	2569888	plus		
9606	Homo sapiens	0	0	live	RP3-395M20.9		gene_id:ENSG00000228037.1, gene_status:NOVEL, gene_type:lincRNA			1		2581560	2584533	plus		
9606	Homo sapiens	0	0	live	RP13-436F16.1		gene_id:ENSG00000237058.1, gene_status:NOVEL, gene_type:antisense			1		2632568	2636620	plus		
9606	Homo sapiens	0	0	live	RP11-740P5.2		gene_id:ENSG00000233234.1, gene_status:NOVEL, gene_type:lincRNA			1		2812692	2811850	minus		
9606	Homo sapiens	0	0	live	RP11-740P5.3		gene_id:ENSG00000231630.1, gene_status:NOVEL, gene_type:lincRNA			1		2814998	2814432	minus		
9606	Homo sapiens	0	0	live	LINC00982		gene_id:ENSG00000177133.9, gene_status:NOVEL, gene_type:antisense			1		3068437	3059615	minus		
9606	Homo sapiens	0	0	live	RP1-163G9.2		gene_id:ENSG00000226286.1, gene_status:NOVEL, gene_type:antisense			1		3133709	3132927	minus		
9606	Homo sapiens	0	0	live	RP11-193J6.1		gene_id:ENSG00000279839.1, gene_status:KNOWN, gene_type:TEC			1		3205988	3208664	plus		
9606	Homo sapiens	0	0	live	RP11-22L13.1		gene_id:ENSG00000272235.1, gene_status:NOVEL, gene_type:lincRNA			1		3310096	3306636	minus		
9606	Homo sapiens	0	0	live	RP11-168F9.2		gene_id:ENSG00000272088.1, gene_status:NOVEL, gene_type:lincRNA			1		3487246	3487627	plus		
9606	Homo sapiens	0	0	live	RP11-46F15.2		gene_id:ENSG00000238260.1, gene_status:NOVEL, gene_type:antisense			1		3624743	3623190	minus		
9606	Homo sapiens	0	0	live	RP5-1092A11.5		gene_id:ENSG00000227589.1, gene_status:NOVEL, gene_type:antisense			1		3668772	3658938	minus		
9606	Homo sapiens	0	0	live	RP5-1092A11.2		gene_id:ENSG00000235131.1, gene_status:NOVEL, gene_type:antisense			1		3714298	3712200	minus		
9606	Homo sapiens	0	0	live	TP73-AS1		gene_id:ENSG00000227372.9, gene_status:KNOWN, gene_type:antisense			1		3747336	3735601	minus		
9606	Homo sapiens	0	0	live	RP1-286D6.5		gene_id:ENSG00000272153.1, gene_status:NOVEL, gene_type:antisense			1		3785008	3785538	plus		
9606	Homo sapiens	0	0	live	LINC01134		gene_id:ENSG00000236423.4, gene_status:NOVEL, gene_type:lincRNA			1		3900372	3917225	plus		
9606	Homo sapiens	0	0	live	LINC01346		gene_id:ENSG00000233304.4, gene_status:NOVEL, gene_type:lincRNA			1		3940613	3955262	plus		
9606	Homo sapiens	0	0	live	RP13-614K11.2		gene_id:ENSG00000226374.1, gene_status:NOVEL, gene_type:lincRNA			1		3948980	3947149	minus		
9606	Homo sapiens	0	0	live	RP5-1166F10.1		gene_id:ENSG00000235054.1, gene_status:NOVEL, gene_type:lincRNA			1		4412051	4424687	plus		
9606	Homo sapiens	0	0	live	RP1-37J18.1		gene_id:ENSG00000227169.2, gene_status:NOVEL, gene_type:lincRNA			1		4552145	4551735	minus		
9606	Homo sapiens	0	0	live	RP1-37J18.2		gene_id:ENSG00000232596.1, gene_status:NOVEL, gene_type:lincRNA			1		4571548	4583421	plus		
9606	Homo sapiens	0	0	live	RP11-542C10.1		gene_id:ENSG00000231510.1, gene_status:PUTATIVE, gene_type:lincRNA			1		5090899	5086459	minus		
9606	Homo sapiens	0	0	live	RP1-58B11.1		gene_id:ENSG00000260972.1, gene_status:NOVEL, gene_type:lincRNA			1		5492978	5494674	plus		
9606	Homo sapiens	0	0	live	RP11-154H17.1		gene_id:ENSG00000236948.1, gene_status:NOVEL, gene_type:lincRNA			1		5668295	5587368	minus		
9606	Homo sapiens	0	0	live	RP1-120G22.11		gene_id:ENSG00000226944.1, gene_status:NOVEL, gene_type:antisense			1		6205780	6204840	minus		
9606	Homo sapiens	0	0	live	LINC00337		gene_id:ENSG00000225077.2, gene_status:KNOWN, gene_type:lincRNA			1		6236240	6239444	plus		
9606	Homo sapiens	0	0	live	RP1-202O8.3		gene_id:ENSG00000271746.1, gene_status:NOVEL, gene_type:antisense			1		6393555	6394391	plus		
9606	Homo sapiens	0	0	live	RP1-202O8.2		gene_id:ENSG00000231868.1, gene_status:NOVEL, gene_type:antisense			1		6447006	6443034	minus		
9606	Homo sapiens	0	0	live	RP11-242F24.1		gene_id:ENSG00000228750.4, gene_status:NOVEL, gene_type:lincRNA			1		6724637	6730012	plus		
9606	Homo sapiens	0	0	live	RP11-312B8.1		gene_id:ENSG00000237436.1, gene_status:NOVEL, gene_type:antisense			1		6784843	6783892	minus		
9606	Homo sapiens	0	0	live	RP11-334N17.1		gene_id:ENSG00000237365.1, gene_status:NOVEL, gene_type:antisense			1		7014279	7008376	minus		
9606	Homo sapiens	0	0	live	CAMTA1-IT1		gene_id:ENSG00000237402.1, gene_status:NOVEL, gene_type:sense_intronic			1		7368942	7370270	plus		
9606	Homo sapiens	0	0	live	RP3-453P22.2		gene_id:ENSG00000237728.2, gene_status:NOVEL, gene_type:antisense			1		7389754	7382487	minus		
9606	Homo sapiens	0	0	live	RP4-549F15.1		gene_id:ENSG00000225126.1, gene_status:NOVEL, gene_type:antisense			1		7441554	7441096	minus		
9606	Homo sapiens	0	0	live	RP11-338N10.1		gene_id:ENSG00000270171.1, gene_status:NOVEL, gene_type:lincRNA			1		7694844	7693124	minus		
9606	Homo sapiens	0	0	live	RP11-338N10.2		gene_id:ENSG00000270035.1, gene_status:NOVEL, gene_type:lincRNA			1		7698872	7698303	minus		
9606	Homo sapiens	0	0	live	RP11-338N10.3		gene_id:ENSG00000269978.1, gene_status:NOVEL, gene_type:lincRNA			1		7700970	7700704	minus		
9606	Homo sapiens	0	0	live	RP3-467L1.6		gene_id:ENSG00000269925.1, gene_status:NOVEL, gene_type:sense_intronic			1		7776383	7776775	plus		
9606	Homo sapiens	0	0	live	RP3-467L1.4		gene_id:ENSG00000236266.1, gene_status:NOVEL, gene_type:antisense			1		7827342	7810242	minus		
9606	Homo sapiens	0	0	live	RP11-431K24.1		gene_id:ENSG00000238290.1, gene_status:NOVEL, gene_type:lincRNA			1		8026738	8122702	plus		
9606	Homo sapiens	0	0	live	RP11-431K24.3		gene_id:ENSG00000227634.1, gene_status:NOVEL, gene_type:lincRNA			1		8208672	8215210	plus		
9606	Homo sapiens	0	0	live	RP11-431K24.4		gene_id:ENSG00000233645.1, gene_status:NOVEL, gene_type:lincRNA			1		8220529	8218190	minus		
9606	Homo sapiens	0	0	live	RP5-1115A15.1		gene_id:ENSG00000232912.4, gene_status:NOVEL, gene_type:antisense			1		8424645	8434838	plus		
9606	Homo sapiens	0	0	live	RP4-633I8.4		gene_id:ENSG00000228423.2, gene_status:NOVEL, gene_type:lincRNA			1		8807051	8805860	minus		
9606	Homo sapiens	0	0	live	ENO1-IT1		gene_id:ENSG00000236269.1, gene_status:NOVEL, gene_type:sense_intronic			1		8878007	8875788	minus		
9606	Homo sapiens	0	0	live	ENO1-AS1		gene_id:ENSG00000230679.1, gene_status:NOVEL, gene_type:antisense			1		8878835	8879894	plus		
9606	Homo sapiens	0	0	live	RP3-510D11.1		gene_id:ENSG00000228526.2, gene_status:NOVEL, gene_type:lincRNA			1		9202619	9182007	minus		
9606	Homo sapiens	0	0	live	RP3-510D11.2		gene_id:ENSG00000234546.2, gene_status:NOVEL, gene_type:lincRNA			1		9182204	9192089	plus		
9606	Homo sapiens	0	0	live	RP13-392I16.1		gene_id:ENSG00000235263.1, gene_status:NOVEL, gene_type:lincRNA			1		9503471	9501092	minus		
9606	Homo sapiens	0	0	live	PIK3CD-AS1		gene_id:ENSG00000179840.5, gene_status:KNOWN, gene_type:antisense			1		9654586	9652610	minus		
9606	Homo sapiens	0	0	live	PIK3CD-AS2		gene_id:ENSG00000231789.2, gene_status:NOVEL, gene_type:antisense			1		9687555	9672426	minus		
9606	Homo sapiens	0	0	live	RP11-84A14.5		gene_id:ENSG00000223989.1, gene_status:NOVEL, gene_type:antisense			1		9848318	9850154	plus		
9606	Homo sapiens	0	0	live	RP11-84A14.4		gene_id:ENSG00000228150.1, gene_status:NOVEL, gene_type:sense_intronic			1		9942923	9949974	plus		
9606	Homo sapiens	0	0	live	RP11-807G9.2		gene_id:ENSG00000241326.1, gene_status:NOVEL, gene_type:sense_intronic			1		9983141	9984568	plus		
9606	Homo sapiens	0	0	live	RP4-736L20.3		gene_id:ENSG00000271989.1, gene_status:NOVEL, gene_type:antisense			1		10430677	10429881	minus		
9606	Homo sapiens	0	0	live	RP5-1113E3.3		gene_id:ENSG00000203469.2, gene_status:NOVEL, gene_type:antisense			1		10458555	10459338	plus		
